camis,foursquare_fsq_id,google_place_id
40373909,4bd32b83462cb71358b4dd07,ChIJyZQU_LxcwokRhPghQC1ZjhQ
40373912,64eac8389589f568b2eb9be4,ChIJ__Ry6ZFZwokRge73vP_ViGI
40373937,4aa834b7f964a5200e5020e3,ChIJe_-5BfVYwokRvcY01Ulz7e8
40374136,46e5231af964a520b54a1fe3,ChIJBdUigIWLwokRJvFIxrTgr8s
40374192,4b981d9af964a520802d35e3,ChIJtcTkkrtYwokRav-iyD-cV_Y
40374266,c3785aab5afc4381c677f1e2,ChIJt0v-OrBZwokRsmsjSVOdr0Q
40374277,3fd66200f964a520b9e31ee3,ChIJsXEP1LFZwokRneSkypl94JQ
40374395,4b203dd9f964a5203c2f24e3,ChIJYWS5skFDwokR_r1vY5ReGHM
40374415,3fd66200f964a520dfe91ee3,ChIJ7d_Zy41ZwokRJ8-pmekV39A
40374834,4a871eb2f964a520b20220e3,ChIJ0Qva04lZwokRblbYm8Irh3E
40374974,3fd66200f964a520bae71ee3,ChIJWSHlKVdYwokR7oxPQdfuWeI
40375108,3fd66200f964a5206deb1ee3,ChIJGQKkuFxZwokRDRCNL_U4x6E
40375286,4bb6dd862ea19521855dac2f,ChIJbZkoe4VdwokRJG6hyrpazSw
40375369,4c0aea66340720a1875b8793,ChIJKfotBvZdwokRO7J3GFqBQso
40375616,4a84af7ff964a52055fd1fe3,ChIJTbZrCLpYwokRx16ZzD7mOJo
40375699,49bf033cf964a520fe541fe3,ChIJ6-ZnU5ZZwokRLq6GRJiQLNc
40375929,5172b35f498e0949bdef109a,ChIJq6QuHRFFwokRSESp64jqQOg
40376077,4b53e4b4f964a52024ae27e3,ChIJteCcddBhwokR0x_Pn5jFoUY
40376142,45e724b3f964a5205b431fe3,ChIJVdduFL9YwokRGn2EFWZDLBs
40376204,4ba0203af964a520105c37e3,ChIJEXncOZ5gwokReosxDXh9pAI
40376290,4ade8fcef964a5205d7621e3,ChIJyU00c2xOwokRVgpHdhU6qIM
40376352,3fd66200f964a520e9e51ee3,ChIJbfTV15NZwokRSeNM676BEZI
40376493,4a6bc7d0f964a520f2cf1fe3,ChIJ0wFhOQ5ZwokRU8P93msecs4
40376495,4ab98ab8f964a520cf7f20e3,ChIJMQaH8VlawokRbgV_LdYg6Yk
40376496,548160cc498ebe470b90fea4,ChIJHUZodJRZwokR3Mdk_jks8Ss
40376635,55423f82498e5156ac21cfb6,ChIJ09yOf09awokRuw8wOSinwrc
40376718,4abf9767f964a520399120e3,ChIJSeZ4ROpYwokRQtjtlj5Phuw
40376735,3fd66200f964a520b3e71ee3,ChIJD81nnvdYwokRbq9qfuo-L-0
40377124,4b99a8a6f964a5204d8a35e3,ChIJ6WkcE2OMwokRQWEfgUGaGc8
40377243,4bc78c0d0050b71372e8b83b,ChIJLc1b4871wokRfsjAm_SYNf0
40377262,4c3f96a2cc410f47af69a861,ChIJS8RulQZLwokRjHFUMEU_ZQ8
40377294,4bae571bf964a520ffa43be3,ChIJo7ffj3hewokRPyIioOkR188
40377325,3fd66200f964a52045ea1ee3,ChIJxy1zcQZZwokRmuPUv0M9GjA
40377385,4b8775dff964a520e0bf31e3,ChIJfSpBbgBZwokRzUNVSKl9vo8
40377506,4b3eaefff964a520bfa025e3,ChIJ9acCK1hFwokRJjwus2Ai6Z8
40377630,4d568eebcf1b37040cb4bf3f,ChIJ4cvV1QJZwokRmse8VJzP1aE
40377789,414ccc00f964a520d21c1fe3,ChIJXQP8fYpYwokRgkepJvnLNlc
40378035,57a1f220498ef5946af5ddc3,ChIJjXsHHl1gwokRdRZxhYF-dU0
40378190,4bba1c4b1261d13a243cea98,ChIJt0c70iZewokR0xgP6kML6Yk
40378212,4ae23fbcf964a520608c21e3,ChIJT2lgGwb2wokRQ1y71rEfmZA
